Date,State,New_cases
02/12,NSW,271
03/12,NSW,337
04/12,NSW,325
05/12,NSW,286
06/12,NSW,208
07/12,NSW,260
08/12,NSW,403
09/12,NSW,420
10/12,NSW,516
11/12,NSW,560
12/12,NSW,485
13/12,NSW,536
14/12,NSW,804
15/12,NSW,"1,360"
16/12,NSW,"1,742"
17/12,NSW,"2,213"
18/12,NSW,"2,482"
19/12,NSW,"2,566"
20/12,NSW,"2,501"
21/12,NSW,"3,057"
22/12,NSW,"3,763"
23/12,NSW,"5,715"
24/12,NSW,"5,612"
25/12,NSW,"6,288"
26/12,NSW,"6,394"
27/12,NSW,"6,324"
28/12,NSW,"6,062"
29/12,NSW,"11,201"
30/12,NSW,"12,226"
31/12,NSW,"21,151"
01/01,NSW,"22,577"
02/01,NSW,"18,278"
03/01,NSW,"20,794"
02/12,VIC,"1,419"
03/12,VIC,"1,188"
04/12,VIC,"1,365"
05/12,VIC,980
06/12,VIC,"1,073"
07/12,VIC,"1,185"
08/12,VIC,"1,312"
09/12,VIC,"1,232"
10/12,VIC,"1,206"
11/12,VIC,"1,193"
12/12,VIC,"1,069"
13/12,VIC,"1,290"
14/12,VIC,"1,189"
15/12,VIC,"1,405"
16/12,VIC,"1,622"
17/12,VIC,"1,510"
18/12,VIC,"1,504"
19/12,VIC,"1,240"
20/12,VIC,"1,302"
21/12,VIC,"1,245"
22/12,VIC,"1,503"
23/12,VIC,"2,005"
24/12,VIC,"2,095"
25/12,VIC,"2,108"
26/12,VIC,"1,608"
27/12,VIC,"1,999"
28/12,VIC,"2,738"
29/12,VIC,"3,767"
30/12,VIC,"5,137"
31/12,VIC,"5,919"
01/01,VIC,"7,442"
02/01,VIC,"7,172"
03/01,VIC,"8,577"
02/12,QLD,3
03/12,QLD,6
04/12,QLD,7
05/12,QLD,6
06/12,QLD,3
07/12,QLD,1
08/12,QLD,2
09/12,QLD,0
10/12,QLD,9
11/12,QLD,1
12/12,QLD,1
13/12,QLD,10
14/12,QLD,4
15/12,QLD,6
16/12,QLD,22
17/12,QLD,20
18/12,QLD,31
19/12,QLD,42
20/12,QLD,59
21/12,QLD,86
22/12,QLD,186
23/12,QLD,369
24/12,QLD,589
25/12,QLD,765
26/12,QLD,714
27/12,QLD,784
28/12,QLD,"1,158"
29/12,QLD,"1,539"
30/12,QLD,"2,222"
31/12,QLD,"3,118"
01/01,QLD,"2,266"
02/01,QLD,"3,587"
03/01,QLD,"4,249"
02/12,SA,18
03/12,SA,4
04/12,SA,5
05/12,SA,6
06/12,SA,4
07/12,SA,4
08/12,SA,3
09/12,SA,7
10/12,SA,8
11/12,SA,7
12/12,SA,10
13/12,SA,13
14/12,SA,12
15/12,SA,25
16/12,SA,24
17/12,SA,64
18/12,SA,73
19/12,SA,80
20/12,SA,105
21/12,SA,154
22/12,SA,198
23/12,SA,484
24/12,SA,688
25/12,SA,634
26/12,SA,774
27/12,SA,842
28/12,SA,995
29/12,SA,"1,471"
30/12,SA,"1,374"
31/12,SA,"2,093"
01/01,SA,"2,100"
02/01,SA,"2,298"
03/01,SA,"2,552"
02/12,WA,0
03/12,WA,1
04/12,WA,0
